,RMNH.INS.1271298_An_messeae - rrnS gene,RMNH.INS.1271299_An_messeae - rrnS gene,RMNH.INS.1271300_An_messeae - rrnS gene,RMNH.INS.1271301_Cq_richiardii - rrnS gene,RMNH.INS.1271302_Cq_richiardii - rrnS gene,RMNH.INS.1271303_Cq_richiardii - rrnS gene,RMNH.INS.1271304_Ae_vexans - rrnS gene,RMNH.INS.1271305_Ae_vexans - rrnS gene,RMNH.INS.1271306_Ae_vexans - rrnS gene,RMNH.INS.1271307_Cs_annulata - rrnS gene,RMNH.INS.1271308_Cs_annulata - rrnS gene,RMNH.INS.1271309_Cs_annulata - rrnS gene,RMNH.INS.1271310_An_claviger - rrnS gene,RMNH.INS.1271311_An_claviger - rrnS gene,RMNH.INS.1271312_An_claviger - rrnS gene,RMNH.INS.1271313_Cx_modestus - rrnS gene,RMNH.INS.1271314_Cx_modestus - rrnS gene,RMNH.INS.1271315_Cx_modestus - rrnS gene,RMNH.INS.1271316_Cx_territans - rrnS gene,RMNH.INS.1271317_Cx_territans - rrnS gene,RMNH.INS.1271318_Cx_territans - rrnS gene,RMNH.INS.1271319_Ae_cinereus_geminus - rrnS gene,RMNH.INS.1271320_Ae_cinereus_geminus - rrnS gene,RMNH.INS.1271321_Ae_cinereus_geminus - rrnS gene,RMNH.INS.1271322_Cs_longiareolata - rrnS gene,RMNH.INS.1271323_Cs_longiareolata - rrnS gene,RMNH.INS.1271324_Cs_longiareolata - rrnS gene,RMNH.INS.1271325_Ae_annulipes_cantans - rrnS gene,RMNH.INS.1271326_Ae_annulipes_cantans - rrnS gene,RMNH.INS.1271327_Ae_annulipes_cantans - rrnS gene,RMNH.INS.1271328_Ae_annulipes_cantans - rrnS gene,RMNH.INS.1271329_Ae_annulipes_cantans - rrnS gene,RMNH.INS.1271330_Ae_annulipes_cantans - rrnS gene,RMNH.INS.1271331_Ae_rusticus - rrnS gene,RMNH.INS.1271332_Ae_rusticus - rrnS gene,RMNH.INS.1271333_Ae_rusticus - rrnS gene,RMNH.INS.1271334_Ae_communis - rrnS gene,RMNH.INS.1271335_Ae_communis - rrnS gene,RMNH.INS.1271336_Ae_communis - rrnS gene,RMNH.INS.1271337_Ae_punctor - rrnS gene,RMNH.INS.1271338_Ae_rusticus - rrnS gene,RMNH.INS.1271339_Ae_punctor - rrnS gene,RMNH.INS.1271340_Ae_geniculatus - rrnS gene,RMNH.INS.1271341_Ae_geniculatus - rrnS gene,RMNH.INS.1271342_Ae_geniculatus - rrnS gene,RMNH.INS.1271344_Cs_subochrea - rrnS gene,RMNH.INS.1271345_Cs_annulata - rrnS gene,RMNH.INS.1271346_Ae_caspius - rrnS gene,RMNH.INS.1271347_Ae_caspius - rrnS gene,RMNH.INS.1271348_Ae_caspius - rrnS gene,RMNH.INS.1271349_An_plumbeus - rrnS gene,RMNH.INS.1271350_An_plumbeus - rrnS gene,RMNH.INS.1271351_An_plumbeus - rrnS gene,RMNH.INS.1271352_Cs_annulata - rrnS gene,RMNH.INS.1271354_Cs_annulata - rrnS gene,RMNH.INS.1271355_Cx_pipiens - rrnS gene,RMNH.INS.1271356_Cx_pipiens - rrnS gene,RMNH.INS.1271357_Cx_pipiens - rrnS gene,RMNH.INS.1271358_Cs_morsitans - rrnS gene,RMNH.INS.1271359_Cs_morsitans - rrnS gene,RMNH.INS.1271360_Cs_morsitans - rrnS gene,RMNH.INS.1271361_Ae_sticticus - rrnS gene,RMNH.INS.1271362_Ae_sticticus - rrnS gene,RMNH.INS.1271363_Ae_sticticus - rrnS gene,RMNH.INS.1271367_Ae_detritus - rrnS gene,RMNH.INS.1271368_Ae_detritus - rrnS gene,RMNH.INS.1271369_Ae_caspius - rrnS gene,RMNH.INS.1271370_Ae_flavescens - rrnS gene,RMNH.INS.1271371_Ae_flavescens - rrnS gene,RMNH.INS.1271372_Ae_flavescens - rrnS gene,RMNH.INS.1271375_Ae_leucomelas - rrnS gene,RMNH.INS.1271376_Ae_albopictus - rrnS gene,RMNH.INS.1271377_Ae_albopictus - rrnS gene,RMNH.INS.1271378_Ae_albopictus - rrnS gene,RMNH.INS.1271379_Ae_japonicus - rrnS gene,RMNH.INS.1271380_Ae_japonicus - rrnS gene,RMNH.INS.1271381_Ae_japonicus - rrnS gene,RMNH.INS.1271382_Ae_aegypti - rrnS gene,RMNH.INS.1271383_Ae_aegypti - rrnS gene,RMNH.INS.1271384_Ae_aegypti - rrnS gene,RMNH.INS.1271386_Ae_cinereus_geminus - rrnS gene,RMNH.INS.1271389_Cs_ochroptera - rrnS gene
RMNH.INS.1271359_Cs_morsitans - rrnS gene,88.889,88.889,88.889,92.649,92.649,92.649,93.924,93.805,93.924,94.444,94.911,95.293,88.510,88.510,88.384,93.020,93.020,93.147,93.426,93.901,93.901,93.038,92.911,93.038,94.670,94.670,94.670,93.418,93.300,93.544,93.418,93.426,93.426,93.671,93.671,93.671,93.173,93.173,93.173,93.047,93.671,93.047,93.300,93.300,93.300,95.934,95.165,93.409,93.409,93.283,86.946,86.946,86.819,95.165,95.165,93.401,93.401,93.274,100.000,,100.000,93.671,93.671,93.671,92.649,92.902,93.409,93.671,93.671,93.552,94.436,91.656,91.656,91.656,92.902,92.902,92.776,92.893,93.147,93.020,93.038,97.328
RMNH.INS.1271360_Cs_morsitans - rrnS gene,88.889,88.889,88.889,92.649,92.649,92.649,93.924,93.805,93.924,94.444,94.911,95.293,88.510,88.510,88.384,93.020,93.020,93.147,93.426,93.901,93.901,93.038,92.911,93.038,94.670,94.670,94.670,93.418,93.300,93.544,93.418,93.426,93.426,93.671,93.671,93.671,93.173,93.173,93.173,93.047,93.671,93.047,93.300,93.300,93.300,95.934,95.165,93.409,93.409,93.283,86.946,86.946,86.819,95.165,95.165,93.401,93.401,93.274,100.000,100.000,,93.671,93.671,93.671,92.649,92.902,93.409,93.671,93.671,93.552,94.436,91.656,91.656,91.656,92.902,92.902,92.776,92.893,93.147,93.020,93.038,97.328
RMNH.INS.1271361_Ae_sticticus - rrnS gene,90.164,90.164,90.164,91.772,91.772,91.772,97.722,97.472,97.722,93.216,94.043,94.304,89.281,89.281,89.155,93.790,93.790,93.916,93.561,93.790,93.790,95.833,95.707,95.833,94.304,94.304,94.304,97.845,97.595,97.719,97.845,97.848,97.848,97.845,97.845,97.845,97.085,97.085,97.085,97.212,97.845,97.212,96.578,96.578,96.578,93.300,93.924,97.972,97.972,97.845,88.608,88.608,88.481,93.924,93.924,94.423,94.423,94.297,93.671,93.671,93.671,,100.000,100.000,96.578,96.831,97.972,97.972,97.972,97.848,98.565,95.070,95.070,95.070,96.198,96.198,96.071,95.057,95.437,95.311,95.833,93.790
RMNH.INS.1271362_Ae_sticticus - rrnS gene,90.164,90.164,90.164,91.772,91.772,91.772,97.722,97.472,97.722,93.216,94.043,94.304,89.281,89.281,89.155,93.790,93.790,93.916,93.561,93.790,93.790,95.833,95.707,95.833,94.304,94.304,94.304,97.845,97.595,97.719,97.845,97.848,97.848,97.845,97.845,97.845,97.085,97.085,97.085,97.212,97.845,97.212,96.578,96.578,96.578,93.300,93.924,97.972,97.972,97.845,88.608,88.608,88.481,93.924,93.924,94.423,94.423,94.297,93.671,93.671,93.671,100.000,,100.000,96.578,96.831,97.972,97.972,97.972,97.848,98.565,95.070,95.070,95.070,96.198,96.198,96.071,95.057,95.437,95.311,95.833,93.790
RMNH.INS.1271363_Ae_sticticus - rrnS gene,90.164,90.164,90.164,91.772,91.772,91.772,97.722,97.472,97.722,93.216,94.043,94.304,89.281,89.281,89.155,93.790,93.790,93.916,93.561,93.790,93.790,95.833,95.707,95.833,94.304,94.304,94.304,97.845,97.595,97.719,97.845,97.848,97.848,97.845,97.845,97.845,97.085,97.085,97.085,97.212,97.845,97.212,96.578,96.578,96.578,93.300,93.924,97.972,97.972,97.845,88.608,88.608,88.481,93.924,93.924,94.423,94.423,94.297,93.671,93.671,93.671,100.000,100.000,,96.578,96.831,97.972,97.972,97.972,97.848,98.565,95.070,95.070,95.070,96.198,96.198,96.071,95.057,95.437,95.311,95.833,93.790
RMNH.INS.1271367_Ae_detritus - rrnS gene,88.889,88.889,88.889,91.013,91.013,91.013,97.081,96.831,97.081,92.453,93.147,93.536,88.384,88.384,88.258,92.649,92.649,92.776,92.551,92.776,92.776,95.823,95.696,95.823,93.544,93.544,93.544,96.827,96.578,96.954,96.827,96.831,96.831,97.462,97.462,97.462,96.831,96.831,96.831,96.578,97.462,96.578,96.071,96.071,96.071,92.911,93.156,97.205,97.205,97.078,88.213,88.213,88.086,93.156,93.156,93.536,93.536,93.663,92.649,92.649,92.649,96.578,96.578,96.578,,99.746,97.205,96.954,96.954,96.831,96.651,94.810,94.810,94.810,95.680,95.680,95.553,95.299,95.172,95.299,95.823,92.649
RMNH.INS.1271368_Ae_detritus - rrnS gene,89.141,89.141,89.141,91.266,91.266,91.266,97.335,97.085,97.335,92.704,93.401,93.790,88.636,88.636,88.510,92.902,92.902,93.029,92.803,93.029,93.029,96.076,95.949,96.076,93.544,93.544,93.544,97.081,96.831,97.208,97.081,97.085,97.085,97.462,97.462,97.462,97.085,97.085,97.085,96.831,97.462,96.831,96.071,96.071,96.071,93.165,93.409,97.459,97.459,97.332,88.466,88.466,88.340,93.409,93.409,93.790,93.790,93.916,92.902,92.902,92.902,96.831,96.831,96.831,99.746,,97.459,97.208,97.208,97.085,96.970,95.063,95.063,95.063,95.680,95.680,95.553,95.299,95.172,95.299,96.076,92.649
RMNH.INS.1271369_Ae_caspius - rrnS gene,89.760,89.760,89.760,91.635,91.635,91.635,98.604,98.352,98.604,92.956,93.655,94.043,89.001,89.001,88.875,93.274,93.274,93.401,93.805,94.036,94.036,96.582,96.456,96.582,94.430,94.430,94.430,98.096,97.845,97.970,98.096,98.099,98.099,98.477,98.477,98.477,97.338,97.338,97.338,97.338,98.477,97.338,96.705,96.705,96.705,93.544,93.663,100.000,100.000,99.873,88.325,88.325,88.198,93.663,93.663,94.162,94.162,94.036,93.409,93.409,93.409,97.972,97.972,97.972,97.205,97.459,,98.223,98.223,98.099,98.882,95.564,95.564,95.564,97.201,97.201,97.074,95.553,95.680,95.807,96.582,93.536
RMNH.INS.1271370_Ae_flavescens - rrnS gene,89.786,89.786,89.786,91.772,91.772,91.772,98.606,98.354,98.606,93.090,93.790,94.177,89.155,89.155,89.029,93.409,93.409,93.536,93.561,93.790,93.790,96.587,96.460,96.587,94.430,94.430,94.430,99.619,99.366,99.239,99.619,99.366,99.366,98.352,98.352,98.352,97.592,97.592,97.592,97.845,98.352,97.845,97.592,97.592,97.592,93.173,93.797,98.223,98.223,98.096,88.734,88.734,88.608,93.797,93.797,93.790,93.790,93.663,93.671,93.671,93.671,97.972,97.972,97.972,96.954,97.208,98.223,,100.000,99.873,99.203,95.322,95.322,95.322,96.827,96.827,96.701,95.812,95.939,96.066,96.587,94.170
RMNH.INS.1271371_Ae_flavescens - rrnS gene,89.786,89.786,89.786,91.772,91.772,91.772,98.606,98.354,98.606,93.090,93.790,94.177,89.155,89.155,89.029,93.409,93.409,93.536,93.561,93.790,93.790,96.587,96.460,96.587,94.430,94.430,94.430,99.619,99.366,99.239,99.619,99.366,99.366,98.352,98.352,98.352,97.592,97.592,97.592,97.845,98.352,97.845,97.592,97.592,97.592,93.173,93.797,98.223,98.223,98.096,88.734,88.734,88.608,93.797,93.797,93.790,93.790,93.663,93.671,93.671,93.671,97.972,97.972,97.972,96.954,97.208,98.223,100.000,,99.873,99.203,95.322,95.322,95.322,96.827,96.827,96.701,95.812,95.939,96.066,96.587,94.170
RMNH.INS.1271372_Ae_flavescens - rrnS gene,89.673,89.673,89.673,91.656,91.656,91.656,98.481,98.230,98.481,92.974,93.671,94.058,89.043,89.043,88.917,93.291,93.291,93.418,93.443,93.671,93.671,96.465,96.338,96.465,94.311,94.311,94.311,99.493,99.493,99.113,99.493,99.493,99.493,98.228,98.228,98.228,97.468,97.468,97.468,97.722,98.228,97.722,97.468,97.468,97.468,93.056,93.679,98.099,98.099,97.972,88.622,88.622,88.496,93.679,93.679,93.671,93.671,93.544,93.552,93.552,93.552,97.848,97.848,97.848,96.831,97.085,98.099,99.873,99.873,,99.203,95.202,95.202,95.202,96.705,96.705,96.578,95.691,95.817,95.944,96.465,94.051
RMNH.INS.1271375_Ae_leucomelas - rrnS gene,91.125,91.125,91.125,93.142,93.142,93.142,98.726,98.569,98.726,93.858,94.745,95.231,90.333,90.333,90.333,94.099,94.099,94.258,94.418,94.418,94.418,96.508,96.508,96.508,95.701,95.701,95.701,99.043,98.884,98.884,99.043,99.203,99.203,98.565,98.565,98.565,97.448,97.448,97.448,97.608,98.565,97.608,97.767,97.767,97.767,93.810,94.754,98.882,98.882,98.722,90.317,90.317,90.159,94.754,94.754,94.418,94.418,94.258,94.436,94.436,94.436,98.565,98.565,98.565,96.651,96.970,98.882,99.203,99.203,99.203,,95.853,95.853,95.853,98.083,98.083,97.923,96.172,96.172,96.332,96.508,94.745
RMNH.INS.1271376_Ae_albopictus - rrnS gene,88.582,88.582,88.582,90.152,90.152,90.152,95.575,95.328,95.575,92.095,92.785,93.173,88.080,88.080,88.206,90.741,91.202,90.864,92.695,92.920,92.920,94.066,94.192,94.066,92.308,92.308,92.308,95.449,95.202,95.575,95.449,95.455,95.455,95.443,95.443,95.443,94.437,94.437,94.437,94.943,95.443,94.943,95.575,95.575,95.575,92.424,92.794,95.564,95.564,95.437,87.722,87.722,87.595,92.794,92.794,91.358,91.358,91.481,91.656,91.656,91.656,95.070,95.070,95.070,94.810,95.063,95.564,95.322,95.322,95.202,95.853,,100.000,100.000,95.057,95.057,94.930,94.177,94.557,94.177,94.066,91.667
RMNH.INS.1271377_Ae_albopictus - rrnS gene,88.582,88.582,88.582,90.152,90.152,90.152,95.575,95.328,95.575,92.095,92.785,93.173,88.080,88.080,88.206,90.741,91.202,90.864,92.695,92.920,92.920,94.066,94.192,94.066,92.308,92.308,92.308,95.449,95.202,95.575,95.449,95.455,95.455,95.443,95.443,95.443,94.437,94.437,94.437,94.943,95.443,94.943,95.575,95.575,95.575,92.424,92.794,95.564,95.564,95.437,87.722,87.722,87.595,92.794,92.794,91.358,91.358,91.481,91.656,91.656,91.656,95.070,95.070,95.070,94.810,95.063,95.564,95.322,95.322,95.202,95.853,100.000,,100.000,95.057,95.057,94.930,94.177,94.557,94.177,94.066,91.667
RMNH.INS.1271378_Ae_albopictus - rrnS gene,88.582,88.582,88.582,90.152,90.152,90.152,95.575,95.328,95.575,92.095,92.785,93.173,88.080,88.080,88.206,90.741,91.202,90.864,92.695,92.920,92.920,94.066,94.192,94.066,92.308,92.308,92.308,95.449,95.202,95.575,95.449,95.455,95.455,95.443,95.443,95.443,94.437,94.437,94.437,94.943,95.443,94.943,95.575,95.575,95.575,92.424,92.794,95.564,95.564,95.437,87.722,87.722,87.595,92.794,92.794,91.358,91.358,91.481,91.656,91.656,91.656,95.070,95.070,95.070,94.810,95.063,95.564,95.322,95.322,95.202,95.853,100.000,100.000,,95.057,95.057,94.930,94.177,94.557,94.177,94.066,91.667
RMNH.INS.1271379_Ae_japonicus - rrnS gene,89.633,89.633,89.633,92.015,92.015,92.015,96.954,96.705,96.954,93.208,93.909,94.297,88.875,88.875,88.748,92.640,92.640,92.766,93.173,93.401,93.401,94.937,94.937,94.937,94.177,94.177,94.177,96.827,96.578,96.954,96.827,96.831,96.831,96.954,96.954,96.954,95.564,95.564,95.564,95.564,96.954,95.564,96.071,96.071,96.071,93.544,93.916,97.201,97.201,97.074,88.959,88.959,88.832,93.916,93.916,93.020,93.020,92.893,92.902,92.902,92.902,96.198,96.198,96.198,95.680,95.680,97.201,96.827,96.827,96.705,98.083,95.057,95.057,95.057,,100.000,99.873,94.663,94.917,94.790,94.937,93.536
RMNH.INS.1271380_Ae_japonicus - rrnS gene,89.633,89.633,89.633,92.015,92.015,92.015,96.954,96.705,96.954,93.208,93.909,94.297,88.875,88.875,88.748,92.640,92.640,92.766,93.173,93.401,93.401,94.937,94.937,94.937,94.177,94.177,94.177,96.827,96.578,96.954,96.827,96.831,96.831,96.954,96.954,96.954,95.564,95.564,95.564,95.564,96.954,95.564,96.071,96.071,96.071,93.544,93.916,97.201,97.201,97.074,88.959,88.959,88.832,93.916,93.916,93.020,93.020,92.893,92.902,92.902,92.902,96.198,96.198,96.198,95.680,95.680,97.201,96.827,96.827,96.705,98.083,95.057,95.057,95.057,100.000,,99.873,94.663,94.917,94.790,94.937,93.536
RMNH.INS.1271381_Ae_japonicus - rrnS gene,89.507,89.507,89.507,91.888,91.888,91.888,96.827,96.578,96.827,93.082,93.782,94.170,88.748,88.748,88.622,92.513,92.513,92.640,93.047,93.274,93.274,94.810,94.810,94.810,94.051,94.051,94.051,96.701,96.451,96.827,96.701,96.705,96.705,96.827,96.827,96.827,95.437,95.437,95.437,95.437,96.827,95.437,95.944,95.944,95.944,93.418,93.790,97.074,97.074,96.947,88.832,88.832,88.706,93.790,93.790,92.893,92.893,92.766,92.776,92.776,92.776,96.071,96.071,96.071,95.553,95.553,97.074,96.701,96.701,96.578,97.923,94.930,94.930,94.930,99.873,99.873,,94.536,94.790,94.663,94.810,93.409
RMNH.INS.1271382_Ae_aegypti - rrnS gene,89.141,89.141,89.141,90.621,90.621,90.621,95.939,95.691,95.939,92.947,93.647,94.036,89.141,89.141,89.015,93.147,93.147,93.274,92.920,93.147,93.147,94.937,95.063,94.937,93.536,93.536,93.536,95.939,95.691,96.066,95.939,95.944,95.944,96.066,96.066,96.066,95.437,95.437,95.437,95.944,96.066,95.944,95.437,95.437,95.437,93.409,93.655,95.553,95.553,95.426,88.086,88.086,87.959,93.655,93.655,93.274,93.274,93.147,92.893,92.893,92.893,95.057,95.057,95.057,95.299,95.299,95.553,95.812,95.812,95.691,96.172,94.177,94.177,94.177,94.663,94.663,94.536,,99.618,99.746,94.937,93.147
RMNH.INS.1271383_Ae_aegypti - rrnS gene,89.394,89.394,89.394,90.875,90.875,90.875,96.066,95.817,96.066,93.199,93.901,94.289,89.141,89.141,89.015,93.147,93.147,93.274,92.920,93.147,93.147,94.810,94.937,94.810,93.536,93.536,93.536,96.066,95.817,96.193,96.066,96.071,96.071,96.193,96.193,96.193,95.564,95.564,95.564,96.071,96.193,96.071,95.564,95.564,95.564,93.536,93.909,95.680,95.680,95.553,88.340,88.340,88.213,93.909,93.909,93.274,93.274,93.147,93.147,93.147,93.147,95.437,95.437,95.437,95.172,95.172,95.680,95.939,95.939,95.817,96.172,94.557,94.557,94.557,94.917,94.917,94.790,99.618,,99.618,94.810,93.401
RMNH.INS.1271384_Ae_aegypti - rrnS gene,89.268,89.268,89.268,90.494,90.494,90.494,96.193,95.944,96.193,92.947,93.647,94.036,89.015,89.015,88.889,93.020,93.020,93.147,93.047,93.274,93.274,94.937,95.063,94.937,93.663,93.663,93.663,96.193,95.944,96.320,96.193,96.198,96.198,96.320,96.320,96.320,95.437,95.437,95.437,95.944,96.320,95.944,95.691,95.691,95.691,93.409,93.655,95.807,95.807,95.680,88.213,88.213,88.086,93.655,93.655,93.147,93.147,93.020,93.020,93.020,93.020,95.311,95.311,95.311,95.299,95.299,95.807,96.066,96.066,95.944,96.332,94.177,94.177,94.177,94.790,94.790,94.663,99.746,99.618,,94.937,93.274
RMNH.INS.1271386_Ae_cinereus_geminus - rrnS gene,88.413,88.413,88.413,91.035,91.035,91.035,96.713,96.465,96.713,92.462,93.038,93.544,88.287,88.287,88.161,92.677,92.677,92.803,92.579,92.803,92.803,100.000,99.873,100.000,93.434,93.434,93.434,96.460,96.212,96.587,96.460,96.465,96.465,96.839,96.839,96.839,96.086,96.086,96.086,96.338,96.839,96.338,94.949,94.949,94.949,92.920,93.165,96.582,96.582,96.456,86.726,86.726,86.599,93.165,93.165,93.308,93.308,93.182,93.038,93.038,93.038,95.833,95.833,95.833,95.823,96.076,96.582,96.587,96.587,96.465,96.508,94.066,94.066,94.066,94.937,94.937,94.810,94.937,94.810,94.937,,92.794
RMNH.INS.1271389_Cs_ochroptera - rrnS gene,89.015,89.015,89.015,92.259,92.259,92.259,93.544,93.300,93.544,94.199,94.911,95.044,88.510,88.510,88.384,92.630,92.630,92.757,93.038,93.511,93.511,92.794,92.920,92.794,95.172,95.172,95.172,94.297,94.177,94.423,94.297,94.304,94.304,93.924,93.924,93.924,94.051,94.051,94.051,93.797,93.924,93.797,94.430,94.430,94.430,94.924,94.917,93.536,93.536,93.409,86.692,86.692,86.565,94.917,94.917,92.630,92.630,92.503,97.328,97.328,97.328,93.790,93.790,93.790,92.649,92.649,93.536,94.170,94.170,94.051,94.745,91.667,91.667,91.667,93.536,93.536,93.409,93.147,93.401,93.274,92.794,
