,RMNH.INS.1271298_An_messeae - COX1 CDS,RMNH.INS.1271299_An_messeae - COX1 CDS,RMNH.INS.1271300_An_messeae - COX1 CDS,RMNH.INS.1271301_Cq_richiardii - COX1 CDS,RMNH.INS.1271302_Cq_richiardii - COX1 CDS,RMNH.INS.1271303_Cq_richiardii - COX1 CDS,RMNH.INS.1271304_Ae_vexans - COX1 CDS,RMNH.INS.1271305_Ae_vexans - COX1 CDS,RMNH.INS.1271306_Ae_vexans - COX1 CDS,RMNH.INS.1271307_Cs_annulata - COX1 CDS,RMNH.INS.1271308_Cs_annulata - COX1 CDS,RMNH.INS.1271309_Cs_annulata - COX1 CDS,RMNH.INS.1271310_An_claviger - COX1 CDS,RMNH.INS.1271311_An_claviger - COX1 CDS,RMNH.INS.1271312_An_claviger - COX1 CDS,RMNH.INS.1271313_Cx_modestus - COX1 CDS,RMNH.INS.1271314_Cx_modestus - COX1 CDS,RMNH.INS.1271315_Cx_modestus - COX1 CDS,RMNH.INS.1271316_Cx_territans - COX1 CDS,RMNH.INS.1271317_Cx_territans - COX1 CDS,RMNH.INS.1271318_Cx_territans - COX1 CDS,RMNH.INS.1271319_Ae_cinereus_geminus - COX1 CDS,RMNH.INS.1271320_Ae_cinereus_geminus - COX1 CDS,RMNH.INS.1271321_Ae_cinereus_geminus - COX1 CDS,RMNH.INS.1271322_Cs_longiareolata - COX1 CDS,RMNH.INS.1271323_Cs_longiareolata - COX1 CDS,RMNH.INS.1271324_Cs_longiareolata - COX1 CDS,RMNH.INS.1271325_Ae_annulipes_cantans - COX1 CDS,RMNH.INS.1271326_Ae_annulipes_cantans - COX1 CDS,RMNH.INS.1271327_Ae_annulipes_cantans - COX1 CDS,RMNH.INS.1271328_Ae_annulipes_cantans - COX1 CDS,RMNH.INS.1271329_Ae_annulipes_cantans - COX1 CDS,RMNH.INS.1271330_Ae_annulipes_cantans - COX1 CDS,RMNH.INS.1271331_Ae_rusticus - COX1 CDS,RMNH.INS.1271332_Ae_rusticus - COX1 CDS,RMNH.INS.1271333_Ae_rusticus - COX1 CDS,RMNH.INS.1271334_Ae_communis - COX1 CDS,RMNH.INS.1271335_Ae_communis - COX1 CDS,RMNH.INS.1271336_Ae_communis - COX1 CDS,RMNH.INS.1271337_Ae_punctor - COX1 CDS,RMNH.INS.1271338_Ae_rusticus - COX1 CDS,RMNH.INS.1271339_Ae_punctor - COX1 CDS,RMNH.INS.1271340_Ae_geniculatus - COX1 CDS,RMNH.INS.1271341_Ae_geniculatus - COX1 CDS,RMNH.INS.1271342_Ae_geniculatus - COX1 CDS,RMNH.INS.1271344_Cs_subochrea - COX1 CDS,RMNH.INS.1271345_Cs_annulata - COX1 CDS,RMNH.INS.1271346_Ae_caspius - COX1 CDS,RMNH.INS.1271347_Ae_caspius - COX1 CDS,RMNH.INS.1271348_Ae_caspius - COX1 CDS,RMNH.INS.1271349_An_plumbeus - COX1 CDS,RMNH.INS.1271350_An_plumbeus - COX1 CDS,RMNH.INS.1271351_An_plumbeus - COX1 CDS,RMNH.INS.1271352_Cs_annulata - COX1 CDS,RMNH.INS.1271354_Cs_annulata - COX1 CDS,RMNH.INS.1271355_Cx_pipiens - COX1 CDS,RMNH.INS.1271356_Cx_pipiens - COX1 CDS,RMNH.INS.1271357_Cx_pipiens - COX1 CDS,RMNH.INS.1271358_Cs_morsitans - COX1 CDS,RMNH.INS.1271359_Cs_morsitans - COX1 CDS,RMNH.INS.1271360_Cs_morsitans - COX1 CDS,RMNH.INS.1271361_Ae_sticticus - COX1 CDS,RMNH.INS.1271362_Ae_sticticus - COX1 CDS,RMNH.INS.1271363_Ae_sticticus - COX1 CDS,RMNH.INS.1271367_Ae_detritus - COX1 CDS,RMNH.INS.1271368_Ae_detritus - COX1 CDS,RMNH.INS.1271369_Ae_caspius - COX1 CDS,RMNH.INS.1271370_Ae_flavescens - COX1 CDS,RMNH.INS.1271371_Ae_flavescens - COX1 CDS,RMNH.INS.1271372_Ae_flavescens - COX1 CDS,RMNH.INS.1271375_Ae_leucomelas - COX1 CDS,RMNH.INS.1271376_Ae_albopictus - COX1 CDS,RMNH.INS.1271377_Ae_albopictus - COX1 CDS,RMNH.INS.1271378_Ae_albopictus - COX1 CDS,RMNH.INS.1271379_Ae_japonicus - COX1 CDS,RMNH.INS.1271380_Ae_japonicus - COX1 CDS,RMNH.INS.1271381_Ae_japonicus - COX1 CDS,RMNH.INS.1271382_Ae_aegypti - COX1 CDS,RMNH.INS.1271383_Ae_aegypti - COX1 CDS,RMNH.INS.1271384_Ae_aegypti - COX1 CDS,RMNH.INS.1271386_Ae_cinereus_geminus - COX1 CDS,RMNH.INS.1271389_Cs_ochroptera - COX1 CDS
RMNH.INS.1271358_Cs_morsitans - COX1 CDS,85.193,85.392,85.657,84.661,84.595,84.595,86.985,87.052,86.985,88.048,88.048,88.048,85.392,85.591,85.392,87.716,87.517,87.583,87.384,87.251,87.251,86.189,86.189,86.321,87.517,87.517,87.517,86.321,86.255,86.388,86.321,86.786,86.587,87.782,87.716,87.583,86.853,86.985,86.985,86.521,87.649,86.521,86.321,86.321,86.321,88.098,88.048,86.521,87.118,86.919,84.927,84.927,84.927,88.048,88.048,87.583,87.649,87.716,,99.801,99.801,87.649,87.649,87.450,86.853,87.118,87.185,86.985,86.985,86.919,87.052,85.325,85.325,85.259,86.720,86.720,86.919,86.853,86.853,87.450,86.189,90.571
RMNH.INS.1271359_Cs_morsitans - COX1 CDS,85.060,85.259,85.525,84.595,84.529,84.529,86.786,86.853,86.786,87.849,87.849,87.849,85.392,85.591,85.392,87.583,87.384,87.450,87.317,87.185,87.185,86.255,86.255,86.388,87.384,87.384,87.384,86.255,86.189,86.321,86.255,86.587,86.388,87.782,87.716,87.583,86.786,86.919,86.919,86.388,87.649,86.388,86.321,86.321,86.321,87.899,87.849,86.388,86.985,86.786,84.861,84.861,84.861,87.849,87.849,87.583,87.649,87.716,99.801,,100.000,87.517,87.517,87.317,86.720,87.052,87.052,86.919,86.919,86.853,87.118,85.259,85.259,85.193,86.786,86.786,86.853,86.786,86.786,87.384,86.255,90.571
RMNH.INS.1271360_Cs_morsitans - COX1 CDS,85.060,85.259,85.525,84.595,84.529,84.529,86.786,86.853,86.786,87.849,87.849,87.849,85.392,85.591,85.392,87.583,87.384,87.450,87.317,87.185,87.185,86.255,86.255,86.388,87.384,87.384,87.384,86.255,86.189,86.321,86.255,86.587,86.388,87.782,87.716,87.583,86.786,86.919,86.919,86.388,87.649,86.388,86.321,86.321,86.321,87.899,87.849,86.388,86.985,86.786,84.861,84.861,84.861,87.849,87.849,87.583,87.649,87.716,99.801,100.000,,87.517,87.517,87.317,86.720,87.052,87.052,86.919,86.919,86.853,87.118,85.259,85.259,85.193,86.786,86.786,86.853,86.786,86.786,87.384,86.255,90.571
RMNH.INS.1271361_Ae_sticticus - COX1 CDS,85.392,85.591,85.591,85.325,85.126,85.126,89.774,89.841,89.708,87.517,87.649,87.649,85.923,86.056,85.923,88.380,88.114,88.114,87.251,87.317,87.118,88.048,88.048,87.981,87.052,87.052,87.052,90.173,90.438,90.173,90.173,90.040,90.173,91.169,91.102,91.102,91.301,91.434,91.434,89.708,91.036,89.708,89.044,89.044,89.044,87.566,87.649,91.235,91.434,91.434,86.388,86.388,86.388,87.649,87.649,88.712,88.778,88.845,87.649,87.517,87.517,,100.000,99.801,90.571,90.704,91.368,89.907,89.907,89.973,91.036,87.915,87.915,87.782,89.641,89.641,89.841,89.110,89.044,89.177,87.849,88.313
RMNH.INS.1271362_Ae_sticticus - COX1 CDS,85.392,85.591,85.591,85.325,85.126,85.126,89.774,89.841,89.708,87.517,87.649,87.649,85.923,86.056,85.923,88.380,88.114,88.114,87.251,87.317,87.118,88.048,88.048,87.981,87.052,87.052,87.052,90.173,90.438,90.173,90.173,90.040,90.173,91.169,91.102,91.102,91.301,91.434,91.434,89.708,91.036,89.708,89.044,89.044,89.044,87.566,87.649,91.235,91.434,91.434,86.388,86.388,86.388,87.649,87.649,88.712,88.778,88.845,87.649,87.517,87.517,100.000,,99.801,90.571,90.704,91.368,89.907,89.907,89.973,91.036,87.915,87.915,87.782,89.641,89.641,89.841,89.110,89.044,89.177,87.849,88.313
RMNH.INS.1271363_Ae_sticticus - COX1 CDS,85.325,85.525,85.525,85.259,85.060,85.060,89.575,89.641,89.509,87.384,87.517,87.517,85.923,86.056,85.923,88.247,87.981,87.981,87.185,87.251,87.052,88.114,88.114,88.048,86.919,86.919,86.919,90.106,90.372,90.106,90.106,89.973,90.106,91.169,91.102,91.102,91.235,91.368,91.368,89.641,91.036,89.641,89.110,89.110,89.110,87.434,87.517,91.169,91.368,91.368,86.255,86.255,86.255,87.517,87.517,88.579,88.645,88.712,87.450,87.317,87.317,99.801,99.801,,90.438,90.704,91.301,89.841,89.841,89.907,90.969,87.981,87.981,87.849,89.509,89.509,89.708,88.977,88.911,89.044,87.782,88.181
RMNH.INS.1271367_Ae_detritus - COX1 CDS,86.521,86.720,86.653,84.329,84.130,84.130,89.044,89.110,88.977,87.583,87.450,87.450,85.657,85.790,85.657,87.915,87.517,87.517,87.118,87.052,86.919,88.247,88.247,88.048,87.052,87.052,87.052,90.903,91.235,91.301,91.036,90.903,90.969,90.903,90.837,90.704,91.368,91.501,91.501,90.637,90.770,90.637,89.509,89.509,89.509,87.434,87.450,90.505,90.438,90.438,84.861,84.861,84.861,87.450,87.450,88.380,88.380,88.313,86.853,86.720,86.720,90.571,90.571,90.438,,98.207,90.372,90.770,90.770,90.637,90.837,87.384,87.384,87.251,88.977,88.977,89.177,87.849,88.181,87.849,88.181,87.849
RMNH.INS.1271368_Ae_detritus - COX1 CDS,86.720,86.919,87.118,84.329,84.263,84.263,89.177,89.243,89.110,87.915,87.782,87.782,86.189,86.122,86.056,88.313,87.915,87.915,87.052,86.985,86.853,88.380,88.380,88.247,87.052,87.052,87.052,91.102,91.434,91.368,91.102,91.102,91.036,91.102,91.036,90.903,91.434,91.567,91.567,90.704,90.969,90.704,89.575,89.575,89.575,87.699,87.782,90.837,91.036,91.036,84.529,84.529,84.529,87.782,87.782,88.911,88.911,88.845,87.118,87.052,87.052,90.704,90.704,90.704,98.207,,90.969,90.903,90.903,90.770,91.102,87.317,87.317,87.185,89.044,89.044,89.243,87.915,88.247,88.181,88.181,87.915
RMNH.INS.1271369_Ae_caspius - COX1 CDS,87.317,87.517,87.517,85.591,85.458,85.458,90.505,90.571,90.505,88.313,88.247,88.247,86.388,86.454,86.388,88.380,88.181,88.114,87.649,87.583,87.384,88.778,88.778,88.845,87.251,87.251,87.251,91.965,91.965,91.899,91.965,91.766,91.700,91.700,91.567,91.633,92.497,92.629,92.629,90.770,91.567,90.770,90.372,90.372,90.372,87.965,88.247,99.004,99.801,99.336,85.857,85.857,85.857,88.247,88.247,89.509,89.575,89.509,87.185,87.052,87.052,91.368,91.368,91.301,90.372,90.969,,91.833,91.833,91.766,91.501,88.513,88.513,88.380,90.305,90.305,90.438,89.044,88.911,88.977,88.645,88.513
RMNH.INS.1271370_Ae_flavescens - COX1 CDS,85.591,85.790,85.724,84.529,84.396,84.396,89.841,89.907,89.774,86.985,86.985,86.985,85.458,85.392,85.325,86.521,86.653,86.587,86.919,86.919,86.720,87.317,87.317,87.517,86.388,86.388,86.388,95.485,95.618,95.684,95.485,95.618,95.485,91.235,91.301,91.301,90.770,90.903,90.903,90.372,91.235,90.372,89.973,89.973,89.973,86.835,86.985,91.567,91.766,91.766,85.325,85.325,85.325,86.985,86.985,87.915,87.981,88.048,86.985,86.919,86.919,89.907,89.907,89.841,90.770,90.903,91.833,,100.000,99.535,92.165,87.317,87.317,87.185,89.376,89.376,89.442,88.181,88.313,88.380,87.317,87.450
RMNH.INS.1271371_Ae_flavescens - COX1 CDS,85.591,85.790,85.724,84.529,84.396,84.396,89.841,89.907,89.774,86.985,86.985,86.985,85.458,85.392,85.325,86.521,86.653,86.587,86.919,86.919,86.720,87.317,87.317,87.517,86.388,86.388,86.388,95.485,95.618,95.684,95.485,95.618,95.485,91.235,91.301,91.301,90.770,90.903,90.903,90.372,91.235,90.372,89.973,89.973,89.973,86.835,86.985,91.567,91.766,91.766,85.325,85.325,85.325,86.985,86.985,87.915,87.981,88.048,86.985,86.919,86.919,89.907,89.907,89.841,90.770,90.903,91.833,100.000,,99.535,92.165,87.317,87.317,87.185,89.376,89.376,89.442,88.181,88.313,88.380,87.317,87.450
RMNH.INS.1271372_Ae_flavescens - COX1 CDS,85.591,85.790,85.724,84.329,84.197,84.197,90.040,90.106,89.973,86.786,86.786,86.786,85.126,85.193,85.126,86.587,86.853,86.786,86.720,86.720,86.521,87.384,87.384,87.583,86.454,86.454,86.454,95.551,95.684,95.750,95.551,95.684,95.551,91.235,91.301,91.301,90.770,90.903,90.903,90.438,91.235,90.438,89.973,89.973,89.973,86.769,86.786,91.633,91.833,91.833,85.392,85.392,85.392,86.786,86.786,87.981,88.048,88.114,86.919,86.853,86.853,89.973,89.973,89.907,90.637,90.770,91.766,99.535,99.535,,92.231,87.185,87.185,87.052,89.376,89.376,89.442,88.247,88.247,88.446,87.251,87.384
RMNH.INS.1271375_Ae_leucomelas - COX1 CDS,86.388,86.321,86.521,85.193,85.193,85.193,89.907,89.973,89.841,87.185,87.251,87.251,86.321,86.521,86.321,88.048,87.782,87.782,86.653,86.587,86.388,88.778,88.778,88.845,86.587,86.587,86.587,92.098,92.364,92.497,92.231,92.165,91.965,91.235,91.301,91.169,92.231,92.231,92.231,91.833,91.235,91.833,90.040,90.040,90.040,87.899,87.251,91.301,91.567,91.633,85.724,85.724,85.724,87.251,87.251,88.778,88.845,88.911,87.052,87.118,87.118,91.036,91.036,90.969,90.837,91.102,91.501,92.165,92.165,92.231,,87.251,87.251,87.118,89.509,89.509,89.575,88.247,88.247,88.645,88.513,88.380
RMNH.INS.1271376_Ae_albopictus - COX1 CDS,86.122,86.321,86.056,84.794,84.595,84.595,88.977,89.044,88.911,86.521,86.521,86.454,85.060,85.126,85.060,86.454,86.454,86.321,85.923,85.989,85.790,88.845,88.845,88.712,86.521,86.521,86.521,87.450,87.716,87.583,87.450,87.517,87.583,88.048,87.981,87.981,87.716,87.849,87.849,87.517,87.915,87.517,87.716,87.716,87.716,86.303,86.521,88.181,88.313,88.380,85.923,85.923,85.923,86.521,86.521,87.517,87.583,87.517,85.325,85.259,85.259,87.915,87.915,87.981,87.384,87.317,88.513,87.317,87.317,87.185,87.251,,100.000,99.867,88.181,88.181,88.380,89.442,89.575,89.575,88.579,86.321
RMNH.INS.1271377_Ae_albopictus - COX1 CDS,86.122,86.321,86.056,84.794,84.595,84.595,88.977,89.044,88.911,86.521,86.521,86.454,85.060,85.126,85.060,86.454,86.454,86.321,85.923,85.989,85.790,88.845,88.845,88.712,86.521,86.521,86.521,87.450,87.716,87.583,87.450,87.517,87.583,88.048,87.981,87.981,87.716,87.849,87.849,87.517,87.915,87.517,87.716,87.716,87.716,86.303,86.521,88.181,88.313,88.380,85.923,85.923,85.923,86.521,86.521,87.517,87.583,87.517,85.325,85.259,85.259,87.915,87.915,87.981,87.384,87.317,88.513,87.317,87.317,87.185,87.251,100.000,,99.867,88.181,88.181,88.380,89.442,89.575,89.575,88.579,86.321
RMNH.INS.1271378_Ae_albopictus - COX1 CDS,86.056,86.255,85.989,84.661,84.462,84.462,88.845,88.911,88.778,86.521,86.521,86.454,84.927,84.993,84.927,86.321,86.321,86.189,85.790,85.857,85.657,88.778,88.778,88.645,86.388,86.388,86.388,87.317,87.583,87.450,87.317,87.384,87.450,87.981,87.915,87.915,87.583,87.716,87.716,87.384,87.849,87.384,87.649,87.649,87.649,86.170,86.521,88.048,88.181,88.247,85.857,85.857,85.857,86.521,86.521,87.384,87.450,87.384,85.259,85.193,85.193,87.782,87.782,87.849,87.251,87.185,88.380,87.185,87.185,87.052,87.118,99.867,99.867,,88.048,88.048,88.247,89.442,89.575,89.575,88.513,86.255
RMNH.INS.1271379_Ae_japonicus - COX1 CDS,86.919,87.118,87.251,85.989,85.923,85.923,89.376,89.442,89.309,86.720,86.653,86.653,85.525,85.657,85.657,86.853,86.853,86.853,87.185,87.118,87.052,88.114,88.114,88.114,85.923,85.923,85.923,89.509,89.641,89.641,89.509,89.708,89.641,90.173,89.973,90.106,89.708,89.708,89.708,88.911,90.040,88.911,88.778,88.778,88.778,86.902,86.653,89.907,90.305,90.372,85.525,85.525,85.525,86.653,86.653,87.782,87.849,87.915,86.720,86.786,86.786,89.641,89.641,89.509,88.977,89.044,90.305,89.376,89.376,89.376,89.509,88.181,88.181,88.048,,100.000,99.668,89.177,88.911,88.911,88.114,87.716
RMNH.INS.1271380_Ae_japonicus - COX1 CDS,86.919,87.118,87.251,85.989,85.923,85.923,89.376,89.442,89.309,86.720,86.653,86.653,85.525,85.657,85.657,86.853,86.853,86.853,87.185,87.118,87.052,88.114,88.114,88.114,85.923,85.923,85.923,89.509,89.641,89.641,89.509,89.708,89.641,90.173,89.973,90.106,89.708,89.708,89.708,88.911,90.040,88.911,88.778,88.778,88.778,86.902,86.653,89.907,90.305,90.372,85.525,85.525,85.525,86.653,86.653,87.782,87.849,87.915,86.720,86.786,86.786,89.641,89.641,89.509,88.977,89.044,90.305,89.376,89.376,89.376,89.509,88.181,88.181,88.048,100.000,,99.668,89.177,88.911,88.911,88.114,87.716
RMNH.INS.1271381_Ae_japonicus - COX1 CDS,87.118,87.317,87.450,86.056,85.989,85.989,89.442,89.509,89.376,86.853,86.786,86.786,85.525,85.657,85.657,86.985,86.985,86.985,87.384,87.317,87.251,88.181,88.181,88.181,86.122,86.122,86.122,89.575,89.708,89.708,89.575,89.907,89.841,90.106,90.040,90.040,89.708,89.708,89.708,89.110,89.973,89.110,88.712,88.712,88.712,87.035,86.786,89.907,90.438,90.372,85.657,85.657,85.657,86.786,86.786,87.716,87.782,87.849,86.919,86.853,86.853,89.841,89.841,89.708,89.177,89.243,90.438,89.442,89.442,89.442,89.575,88.380,88.380,88.247,99.668,99.668,,89.110,88.977,88.977,88.048,87.649
RMNH.INS.1271382_Ae_aegypti - COX1 CDS,85.857,86.056,85.923,85.259,85.060,85.060,90.438,90.438,90.438,85.923,85.923,85.857,85.193,85.259,85.259,86.985,86.720,86.653,86.587,86.521,86.321,89.442,89.442,89.376,86.521,86.521,86.521,88.645,88.778,88.977,88.645,88.645,88.579,89.044,88.977,88.977,87.716,87.849,87.849,87.649,88.911,87.649,87.118,87.118,87.118,85.971,85.923,88.845,88.977,89.110,85.657,85.657,85.657,85.923,85.923,88.247,88.313,88.380,86.853,86.786,86.786,89.110,89.110,88.977,87.849,87.915,89.044,88.181,88.181,88.247,88.247,89.442,89.442,89.442,89.177,89.177,89.110,,98.406,98.074,89.442,87.517
RMNH.INS.1271383_Ae_aegypti - COX1 CDS,86.388,86.587,86.454,85.392,85.193,85.193,90.305,90.305,90.305,86.388,86.388,86.321,85.126,85.193,85.193,87.185,87.052,86.853,86.853,86.786,86.720,89.575,89.575,89.509,86.720,86.720,86.720,88.712,88.977,89.110,88.712,88.977,88.911,89.177,89.110,89.110,87.716,87.849,87.849,87.649,89.044,87.649,86.985,86.985,86.985,86.237,86.388,88.579,88.845,88.845,85.989,85.989,85.989,86.388,86.388,88.048,88.114,88.181,86.853,86.786,86.786,89.044,89.044,88.911,88.181,88.247,88.911,88.313,88.313,88.247,88.247,89.575,89.575,89.575,88.911,88.911,88.977,98.406,,98.473,89.575,87.583
RMNH.INS.1271384_Ae_aegypti - COX1 CDS,85.923,86.122,86.521,85.392,85.325,85.325,90.372,90.372,90.372,86.255,86.255,86.189,85.392,85.458,85.458,87.185,87.185,86.985,86.720,86.786,86.587,89.575,89.575,89.509,86.853,86.853,86.853,88.579,88.845,88.712,88.579,88.845,88.778,88.911,88.845,88.845,87.849,87.981,87.981,87.915,88.778,87.915,87.517,87.517,87.517,86.237,86.255,88.513,88.911,88.911,85.790,85.790,85.790,86.255,86.255,87.782,87.849,87.915,87.450,87.384,87.384,89.177,89.177,89.044,87.849,88.181,88.977,88.380,88.380,88.446,88.645,89.575,89.575,89.575,88.911,88.911,88.977,98.074,98.473,,89.442,87.517
RMNH.INS.1271386_Ae_cinereus_geminus - COX1 CDS,86.255,86.454,86.189,84.728,84.661,84.661,89.376,89.442,89.309,86.321,86.388,86.388,84.661,84.728,84.661,87.185,87.185,87.118,86.786,86.720,86.653,99.469,99.469,99.336,86.388,86.388,86.388,87.849,88.114,88.181,87.849,88.048,87.849,89.708,89.641,89.641,87.384,87.384,87.384,86.919,89.575,86.919,87.185,87.185,87.185,86.370,86.388,88.313,88.579,88.446,86.122,86.122,86.122,86.388,86.388,88.114,88.114,88.048,86.189,86.255,86.255,87.849,87.849,87.782,88.181,88.181,88.645,87.317,87.317,87.251,88.513,88.579,88.579,88.513,88.114,88.114,88.048,89.442,89.575,89.442,,86.388
RMNH.INS.1271389_Cs_ochroptera - COX1 CDS,86.388,86.587,86.587,85.857,85.790,85.790,88.977,88.977,88.911,89.177,89.177,89.177,86.122,86.255,86.122,88.977,88.645,88.845,86.985,87.052,86.985,86.388,86.388,86.388,88.114,88.114,88.114,87.450,87.583,87.649,87.450,87.317,87.251,88.911,88.845,88.778,88.446,88.579,88.579,86.720,88.778,86.720,87.517,87.517,87.517,89.029,89.177,88.446,88.513,88.645,85.923,85.923,85.923,89.177,89.177,89.509,89.575,89.509,90.571,90.571,90.571,88.313,88.313,88.181,87.849,87.915,88.513,87.450,87.450,87.384,88.380,86.321,86.321,86.255,87.716,87.716,87.649,87.517,87.583,87.517,86.388,
